SKU;Nom;SKU parent;Min - Max;Type;Prix par défaut;Prix du supplément;Département;Menu/Écran;Nom du bouton;Couleur du bouton;Style du bouton;Code-barres;Prix de revient;Contenu (gestion des stocks);Unité du contenu (gestion des stocks);Poids;Tare (grammes, vente au poids);Partage;Nom du bon de commande;Plat;Groupe statistique;Instruction de production
2370;Soupe Caponata;;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Caponata;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2376;Soupe tomates, basilic;;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Tomates, basilic;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2383;Verre de vin aperitivo;;;article;7.0;;BIERE;carte londres/APERO;Verre de vin aperitivo;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2389;Pinte ou Champ;;;article;10.0;;BIERE;carte londres/APERO;Pinte ou Champ;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2395;Soupe espagnole à la coriandre;;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Espagnole à la coriandre;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2404;Salade (epeautre, à la chypriote);;;article;6.5;;SALADE;CARTE TEST DETAILLEE/SALADE,BUFFET/SALADE, carte londres détaillée Livraison/SALADE;Salade (epeautre, à la chypriote);BLUE;Accentuer;;;;;;;GLOBAL;;;;
2420;MUG;;;article;12.0;;Divers;carte londres/RECYCLAB, carte londres détaillée local/RECYCLAB, carte londres détaillée Livraison/RECYCLAB, carte londres détaillée/RECYCLAB;MUG;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2421;Bouteille alu;;;article;12.0;;autres;carte londres/RECYCLAB, carte londres détaillée local/RECYCLAB, carte londres détaillée Livraison/RECYCLAB, carte londres détaillée/RECYCLAB;Bouteille;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2423;TOTE BAG;;;article;2.0;;autres;carte londres/RECYCLAB, carte londres détaillée local/RECYCLAB, carte londres détaillée Livraison/RECYCLAB, carte londres détaillée/RECYCLAB;TOTE BAG;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2424;Kit Complet;;;article;22.0;;autres;carte londres/RECYCLAB, carte londres détaillée local/RECYCLAB, carte londres détaillée Livraison/RECYCLAB, carte londres détaillée/RECYCLAB;Kit Complet;BLUE;Accentuer;;;;;;;GLOBAL;;;;
